,year,text,sender,sentiment,emotion
182,1898,alla moglie mia buona vecchia capra la data è una bugia perché come vedi dai tipi della macchina sono a casa di sera dunque al più solo che mai tuo padre mette ordine a carte sue e tua madre suona il piano con fausta ho salutato poco fa titina e m è venuta l idea di scrivertene subito ho fatto su lei un osservazione che se fosse vivo darwin gliela comunicherei mi raccontasti tu stessa che il luogo ove essa è più felice è in bagno è là che essa ha imparato a sputare l acqua che le veniva in bocca oramai quell atto dello sputare è rimasto per essa un gesto che rappresenta la gioia non so se fino al tuo ritorno essa conserverà questa espressione ma certo è ch essa per il momento è creatrice di un atto fisionomico io vorrei conservarglielo e quando sono con essa sputo anche io per aggiungere l imitazione alla natura basta ch io non m abitui troppo a questo atto a te dispiacerebbe di certo figurati che nel momento in cui sarei più felice con te mi metterei a sputare sarebbe bellissimo t avverto che ad onta delle parole che ti scrissi i biscotti sono già in viaggio per salsomaggiore non ho visto la scatola ma credo di poter fidarmi visto che il figlio di gatti è in ufficio con me ho trascritto esattamente il tuo ordine e non dubito che non troverai neppure un biscotto di quelli che tu non hai voluto il dazio mi dissero una lira per chilo lo dovrai pagare a salso devo dirti che non trovo nelle tue lettere abbastanza particolari sul luogo che abiti è luogo assai povero oppure agiato abitato più da operai o da contadini sono arrivati dei bagnanti lo stabilimento è molto abitato fammi il piacere di rispondere in ordine a tutte queste domande tu hai meno facoltà descrittive di nella non me ne lagno perché io non amo in altri le facoltà che con tanto sacrificio tentai invano di fare mie ma in questa occasione un poco di spirito d osservazione da parte tua mi sarebbe stato bene oggi ho studiato tutta la provincia di parma sembrerebbe una provincia piuttosto agricola che industriale peccato che laggiù vi sieno delle fonti di petrolio che occupano alcuni operai dimmi se sono bene informato le notizie dall italia continuano ad essere tranquillanti spero che la mettano via per il momento lavoro poco cara livia la mia mente egra potevo dire anche negra manca totalmente d idee in ufficio sono sempre a giorno ma a che cosa mi serve occorrerebbe ben altro fuori delle lettere a te non faccio niente di pensato o sentito anche l attività cerebrale è inferiore oltre che non sviluppare nulla neppure nulla immagino oggi siamo veramente al e ho a mani la tua lettera e quella della signora rosely che ti prego di riverire di cuore da parte mia e ringraziarla per la buona compagnia che ti fa la giornata mi si annunzia greve di lavoro ma abolita la passeggiata del mezzodì nessun lavoro mi fa paura approfitto della tua assenza per esperire se sia da abolire definitivamente questa gita vi sono dei pro e dei contro interessanti pel lavoro per la mia libertà di mente e di movimento per la speranza di poter prima o poi conquistarmi un posto più comodo al sole sarebbe bene per la mia salute meno perché quella gita prima di pranzo mi faceva bene vero è che se mia moglie mi giungesse guarita di sera si potrebbe muoversi liberamente e dopo un consulto medico dedicarsi magari al velocipede e andar a trovare ogni sera la signora rosely a gorizia mi duole di sentire che evidentemente tu non potrai fare i bagni di seguito non c è miglior via all indebolimento che la perdita dell appetito ricordati di non forzare niente non vorrei che per guarire di quella malattia niente pericolosa tu te ne addossassi un altra dunque attenzione dormire a più non posso come del resto sembra tu faccia attendere la fame se non ti capita all ora precisa e poi mangiare risolutamente all ora in cui la fame c è nella lettera ricevuta questa mane c è qualche dettaglio grandemente tranquillante su salsomaggiore lo comunicherò subito per telefono a casa tua nelle tue lettere mi manca un altra cosa non mi dici di alcuna relazione da voi fatta raccontami con tutta chiarezza qualche cosa delle persone che avvicinate c è qualcuno che ti fa l occhio di pesce stracco non temere per la mia gelosia perché io non sono geloso oggi ti spedisco le cornici avrei oggi da avere la prima conferenza pel ginnasio ma non so se avrò tempo da andarci per provarti che spofford ehrlich non si può offendere ti racconterò questa mi raccontò che ieri s è fatto fotografare io gli dissi e stato però attento di tener ferma la coda se ne trovi mandagli pure una cartolina magari con la scritta dati i colleghi ch ella ha non mi resta che d augurarle pazienza adesso ritornai dal pranzo la lettera è sempre scritta a varie riprese tutti ti salutano paola vuole scriverti c era a pranzo nino che tanto ti saluta suo figlio sta benino in campagna ove si trova devo raccontarti che nei giorni della maggior paura pei disordini in italia ricevetti una lettera da ottavio con cui m invitava di darti ordine telegrafico di rimpatriare io come vedesti non ne feci nulla anche perché mi ritenevo meglio informato di lui tuttavia non seppi dargli torto e raccontandogli che io espressi a tutti la mia opinione che non si doveva partire e che detti facoltà all avv luzzatto di fermarsi o di rimpatriare conclusi ho tutto il rischio ma nessuna responsabilità rocca e baratti dovrebbero scrivere oggi adolfo sta sempre meglio olga è trionfante perché come essa disse al bagno si verificò la miglioria oggi essa ebbe la bontà di prestare ad adolfo fi per domandarglieli mi picchiava solennemente il cuore addio capra mia se qualcuno ti fa l occhio di pesce stracco regala qualcuno dei tuoi più grossi brillanti ad un facchino e fallo bastonare di santa ragione proverò l acqua di fior d arancio ma m occorrerebbe tutt altro calmante addio un abbraccio da ettore,Ettore Schmitz,negative,sadness
183,1898,alla moglie mia buona livia sono stato al porto nuovo ma senza alcuno scopo perché il battello è già partito poi sono andato da paulina a pranzo dove trovai rosa tua madre aveva già raccontato della n disputa allora visto che tutti credevano che si fosse trattato di gelosia raccontai la vera ragione indovina quello che successe tutti mi diedero torto io ne fui stupefatto mi raccomandarono di scriverti delle lettere dolci e di quella raccomandazione non avevo bisogno nevvero puoi leggere da ogni mia riga l interesse con il quale seguo ogni tuo passo e d altro non hai bisogno addio mia buona livia io sono ancora sempre convinto d avere avuto ragione ma pure mi dispiace di averti procurato un dispiacere ti perdono per questa volta addio capra mia buona capra ettore invia a max ehrlich presso filiale della banca union trieste una cartolina postale di salsomaggiore col pupolo non sull indirizzo ma di dietro perché davanti è proibito in austria e scrivici senza firmare sarebbe luogo per lei perché qui c è ottima biada,Ettore Schmitz,negative,sadness
184,1898,alla moglie trieste mia buona moglie ricevo in questo punto la tua del non occuparti tanto dell ora della partenza della posta perché a me basta ricevere una tua lettera per giorno se puoi cerca d apprendere l ora d impostazione all occasione acciocché se ce ne fosse la necessità tu possa farmi pervenire un avviso in ore oggi domenica ti scriverò assai poco questa mane a casa lavorai un ore ad una lettera inglese per thomas brock adesso sono in ufficio dove debbo restare fino a mezzodì e dove probabilmente avrò qualche cosa da fare poi debbo andare a prendere weniger che pur troppo causa la mia cortesia mi ruinerà il pranzo e le sboccie cosi non posso dedicarti che pochissimo tempo in compenso ti dò una buona notizia titina senza che nessuno se ne accorga ha messo un nuovo dente cosi ne ha quattro ed olga dice che ora essa riposerà per parecchio tempo questa mane per non farle perdere l abitudine lo faccio ogni giorno la presi in letto non appena vedutomi da vicino si mise a piangere e non ci fu verso di tranquillarla la gettai fuori di stanza naturalmente con la balia e con le buone educo bene i miei figli ieri non ho potuto avere quella conferenza pel ginnasio femm sarà per martedì anche ora che pranzo in città la mia vita è assai complicata e tutto mi è difficile osservo con sorpresa che la tua del risponde abbastanza bene alle domande che ti ho fatte il per te superstiziosa sembrerà questa una telepatia congiunzione da lontano t avverto però che questa congiunzione da lontano a me non basta penso a te tutto il giorno ma non nel sonno nervoso oh tanto più del solito stento lungamente ad addormentarmi ma quando ci riesco allora è per buono e la balia mi racconta che gigia picchia alla porta talvolta per un ora intera prima di sentirsi rispondere olga t invierà le lit domani da venezia nella settimana t invierò anch io del denaro non sarebbe meglio di estrarne dell altro da olga che sembra cosi ben disposta capisci che al tuo ritorno per quanto poco abbiamo speso saremo poverelli non dirmi avaro o abietto ma ricorda quale paura io ho delle complicazioni e dei pensieri anelerei di venir a stare con te qualche giorno e invece fatti i calcoli resto fermo qui come don bartolo è un sacrificio forte e istesso ai pensieri non sfuggiremo devi riconoscere ch è la prima volta ch io ti parlai in questo senso adolfo decisamente va stando meglio ho visto or ora v venezian che mi raccontò che sua moglie ebbe giorni sono un flemone in gola per cui a lui pareva di perderla da un momento all altro evviva la tranquillità nel matrimonio a spofford dissi oggi almeno metà del suo sangue non è puro iersera avevo letto nel darwin la teoria del sangue misto nei cavalli e poi è vero che a lei sono interdette tutte le piste perché è un castrone e basti di spofford un abbraccio di cuore dal tuo aff o ettore subito per non dimenticare vado a commettere le cornici i biscotti devono esserti già arrivati olga non ti scrive oggi va a venezia domani e ti scriverà di là le lire mie te le manderò io direttamente,Ettore Schmitz,negative,fear
185,1898,alla moglie trieste carissima livia oggi giornata ipocondriaca di i ordine come direbbe falb per non dirti delle cose tristi dovrei non scriverti devo essere saltato dal letto con la gamba sinistra fisso tutta la mattina senz alcuna causa apparente alla mia posizione in casa di tua madre già resto sempre a quella via la balia o via io la tua del dice di non aver ricevuta la mia del ho scritto regolarmente ogni giorno e se hai le lettere troverai per ogni giorno una lettera se non ne hai ricevuta qualcuna è segno che sarà andata smarrita paola ti ha scritto la lettera qui annessa dovresti avere a quest ora i biscotti costano salati causa il nolo e il dazio forse converrebbe farteli venire da venezia o da bologna avvisami in tempo quando ti occorreranno altri dolci la sig na zeline farà qualche cosa in casa e te la invieremo col mezzo di olga da venezia pei regali pensaci tu il meno possibile è evidentemente il meglio la debolezza m affligge e non poco mi dispiacerebbe sommamente se si avesse a prolungare di tanto la tua assenza ma non c è da esitare riposati come devi e fa la cura a dovere titina e nico stanno bene un abbraccio dal tuo ipocondriaco e isterico marito ettore oggi alle pom cesso di indovina cosa,Ettore Schmitz,negative,sadness
186,1898,alla moglie trieste li maggio cara livia cosa ne dici ti mando io degli uomini a fare la tua conoscenza veramente tanto a rocca che a baratti io avevo soltanto domandato d informarmi sullo stato della provincia non m importava affatto che venissero a disturbarti fino a salsomaggiore che tipi sono dammene una descrizione esatta telegrafarono un lungo dispaccio che per la cortesia a cui è ispirato anche in questi tristi tempi rende orgogliosi d essere italiani oggi certamente arriverà una loro lettera dalla quale ne sapremo di più promettono di sorvegliare per cui sembra che ce ne sia di bisogno perciò ad onta di qualche bon mot di tua madre che mi diede quel mio sentimento convulso di gelosia che tu conosci non so pentirmi di averti appoggiata a loro tua madre è partita iersera per venezia con la signora maier perciò questa mattina prima di andare in ufficio trovo dieci minuti da dedicare a te adolfo che va finalmente stando meglio ha fatto ieri qui il bagno poi alle dieci di sera andò con olga in città trovo in ufficio la tua lettera del che mi soddisfa questa volta a pieno certe curiosità che mi rimangono me le soddisferai a voce a voce anche vedremo se c è nelle mie lettere qualche cosa che possa serrare il cuore o non piuttosto secondo me e secondo le mie intenzioni qualche cosa che debba sempre più allargartelo non v è alcun dubbio che le più varie circostanze coincidono ora per farmi passare un brutto periodo ma visto che tu non c entri che con la tua assenza non è il caso ch io abbia voluto far sentire a te questo mio stato non informarti sulle ragioni che mi fanno essere in tale stato d animo e un antico mio vizio che quando nella vita m accadono delle cose che possono quasi significare un nuovo periodo un dirò cosi appezzamento di vita mi ripiego su me stesso e vedo passarmi dinanzi tutta la vita e la sua grande nullità in sé e tutta la vanità di tutti gli sforzi da me fatti in anni di esistenza già al ritorno da gorizia andavo pensando ed ora è la natura che mi fa essere cosi e tu non potrai mai mutarmi l unica cosa che puoi tentare è di darmi meno scosse ch è possibile e capisco che questo non è sempre facile la vita trascina di qua e di là obbliga a questo e a quello e l arbitrio personale non c entra dunque non parliamone più dovresti cercare d inoculare alla signora rosely le mie prevenzioni contro il fumo faresti un opera pia visto ch essa evidentemente soffre di un indisposizione nervosa che dal fumo non può essere resa che più acerba intanto salutala da parte mia caramente bianca mi disse di voler scriverti di questi giorni pensati che quel suo cugino che recentemente è rimasto vedovo è stato ora colpito da paralisi progressiva con figlioli che ora effettivamente si debbono ritenere orfani bianca ne è assai colpita tutti si aspettano lettere tue ma io non credo tu abbia a passare tante ore al tavolo per scrivere a tutti i giorni in cui ti senti più fiacca o credi nelle ore in cui di solito scrivi di dover muoverti un poco per stare meglio conquistarti con un poco di esercizio la fame o il sonno scrivimi due parole su una cartolina postale e inviami quella non sei a salsomaggiore per far piaceri agli altri non complicare la tua corrispondenza scrivendo a ottavio piuttosto se fai eccezione per qualcuno scrivi a natalia e paulina forse avendo molto da fare ti scriverò anch io talvolta una sola cartolina postale figurati che finora non ho avuto tempo di andare dal direttore del liceo e chissà quando ci potrò andare lavoro con una lentezza fenomenale di tutto questo sei causa tu e dire che una volta vivevo benino anche se tu non c eri mi coglie il desiderio come una soffocazione e sempre un desiderio iroso penso anche con ira ineffabile a quei stivalini gialli che portasti tanto di rado o mai accanto a me per portarli nagelneu al luogo di bagni scusami certe parole amare che mi sfuggono se per evitarle stracciassi questa lettera non so se rifacendola in altra forma non ritornerebbero nella penna sono cosi e bisogna prendermi come sono è vero che se tu avessi saputo come ero non mi avresti preso affatto un abbraccio dal tuo fedel ettore,Ettore Schmitz,negative,sadness
187,1898,alla moglie trieste mia cara livia sono a casa e ad onta dell ipocondria ho giuocato un pezzo con letizia figurati ch essa è gelosa di nico basta mettersi in due attorno a nico perché essa si metta a piangere me ne dispiace enormemente la gelosia è il difetto che più odio tu ti metterai a ridere come una matta ma è proprio cosi e sarebbe ingiusto di dire che io sia geloso nel senso che letizia lo è di nico anzi mi pare di avere sempre goduto sinceramente dei beni di fortuna che rappresentano le carezze della fortuna toccati agli altri eppure io non del tutto privo d intelligenza rimasi privo di carezze di fortuna perciò mi pare di avere diritto di adirarmi di questo enorme difetto di n figlia bisognerà fare del n meglio per levarglielo ti ho da raccontare una cosa che ti addolorerà ad onta che si tratti di persone che noi avviciniamo poco l ultimo nato di enrico walmarin è stato colpito da una paralisi alle gambe ebbe qualche giorno di febbre i dottori opinano che durante quella febbre che non aveva alcun carattere maligno il bambino che se non sbaglio dovrebbe avere qualche mese più di letizia fu colpito da una infezione qualunque i dottori dicono che di qua a qualche anno forse tre anni si potrà dire se la malattia accompagnerà il bambino per tutta la vita o no dovrebbe essere un grosso dolore e il povero enrico con la sua passione per i bambini mi fa veramente pietà oggi eravamo a pranzo da paulina con pepi e moise si è discusso naturalmente molto dei fatti d italia ed io pare ero dell opinione differente da quella di tutti ne sei meravigliata ore ant del maggio titina è rimasta una buona mezz ora in letto con me io comincio ad abituarmi a lei ed ella a me anzi oggi ho avuto l orgoglio di essermi stufato prima io di lei che essa di me stimo io c era un umidità spaventevole ti posso scrivere prima di andare in ufficio perché non essendoci olga non ho proprio nulla da fare non temere che adolfo mi ha rinnovato la promessa di darmi i denari la prossima settimana m affretterò allora di rimetterti le lire dimmi se hai ricevuti i biscotti oggi sto forse ancora peggio di ieri ho una depressione che somiglio ad una potente macchina a vapore del tutto scaricata anzi irrugginita ed abbandonata cosa farò tutto il santo giorno magari trovassi in ufficio una fuga di lavoro figurati in quale stato debbo trovarmi per avere un simile desiderio un abbraccio di cuore ettore come ti ho scritto letizia non ha avuto affatto turbamenti per il dente non so perché avrei da celartelo a cosa passata diedi i fi alla zeline non appena incassati ho lavoro in ufficio più di quanto ne desideravo e perciò ho dovuto staccare il secondo foglio che non posso riempire del resto in giornate simili ti scriverò cartoline postali sarà meglio per la tua cura e per la mia tranquillità di nuovo ti bacio tuo aff o ettore,Ettore Schmitz,negative,fear
188,1898,trieste carissima livia due parole in fretta e furia perché non ho tempo ero a pranzo da paulina mi sono messo a chiacchierare con adolfo ed ho fatto più tardi di quanto avrei dovuto il dente venne a letizia senz alcun dolore te lo assicuro non avrei nessuna ragione di non dirtelo ora ch è passato paola ha ricevuta la tua lettera e ti ringrazia per salsomaggiore seguirò il tuo consiglio olga dovrebb essere qui domattina tutti a casa stanno bene salutami la signora rosely la moglie di enrico mi fermò per strada per informarsi di te un abbraccio di cuore dal tuo aff o ettore,Ettore Schmitz,negative,sadness
189,1898,alla moglie carissima livia ricevo la tua del ieri t ho scritto poche righe non perché non ne avevo il tempo è stata una bugia ma perché se ti avessi scritto ti avrei fatta una scena uso quella che ti feci la sera prima della tua partenza come puoi dimostrare desiderio di vedermi dichiarare che mi lasciavi arbitro di venire o non venire e dichiarare nello stesso tempo che olga ne serait pas satisfaite de nous voir jeter gettar via se non sbaglio l argent ma data quest insinuazione se anche tu restassi un anno intero a salsomaggiore io non verrei io non ho l arbitrio più di venire mi misconosci in modo strano credendomi capace di espormi a critiche simili adesso resta pur tranquilla che se avessi anche avuta la minima idea di venire non la pongo di certo più ad esecuzione ho raccontato a olga e gioachino la cosa e sono stupefatti della tua idea se ti avessero dato ragione avrei restituito loro le perché è troppo poco per impedirmi il libero movimento devo invocare tutta la fede che ho in te per non credere che hai voluto essere ben sicura di non vedermi almeno per questo mese sono in uno stato da non dirti buono ch è festa e che anche olga è stanca mangerò e mi coricherò sono veramente stupido di rovinare cosi questa mia vita è proprio ora che metta la testa a segno non scrivermi più di questo malaugurato viaggio oramai la cosa è ben decisa era veramente decisa anche prima ma un poco su altri argomenti mi dispiace di sentire che sei tanto debole interrompi i bagni prendi decisioni da te visto che il medico di costi è tanto bestia con rocca e baratti tratta come ti pare e piace non ho la pretesa di sorvegliarti da qui e m affido in te e nel tuo contegno t invio una lettera preparata ieri contiene delle cose che forse ti possono interessare l ho salvata con dell eau de la barraque questa qui è la lettera più mite che ho saputo scriverti ne ho stracciate e sono stufo di scriverti sullo stesso argomento scusa se contiene qualche frase dura la ritiro l annullo che il diavolo mi porti ma non so scrivere altrimenti se io avessi un po di fortuna in questo mondo cane la tua lettera avrebbe dovuto smarrirsi non scrivermi sull argomento perché è inutile ci spiegheremo a voce di qui a un mese o un mese e mezzo che sia oggi vai a borgo san donnino e t auguro buon divertimento io spero di dormire e poi di divertirmi alle sboccie visto ch è la mia festa l assenza ma di tutto di cervello e di fortuna porto a casa la lettera del e straccio quella del non esiste più e non parliamone più domani finalmente calmo ti scriverò più a lungo ogni quarto d ora una frase facendo dal canto mio tutto ma tutto quello ch è possibile per avvicinarmi a te già a questo scopo non ho da spendere che i denari della posta chiudo perché ricado eternamente nello stesso argomento e se non spedisco questa lettera non te ne scrivo altre un abbraccio di cuore dal tuo aff o ettore,Ettore Schmitz,negative,anger
190,1898,alla moglie cara livia ti scrivo in attesa di zio eugenio a me riesce sempre difficile di dormire di giorno e poi rischio di dormire poco la notte del resto faccio bene di scriverti adesso perché domani dopo un giorno festivo anzi due perché ieri ho lavorato pochissimo è probabile che non possa scriverti che poco o nulla ho poi delle cose da comunicarti la signorina zeline mi disse che vuole scriverti ma che non trova mai tempo ha due cose da dirti che devono tranquillarti è convinta che la balia di letizia sia una buona diavola a cui si può portare tutta la fiducia immaginabile dice di averla sorvegliata sempre e di continuare a sorvegliarla ma di essere già convinta ch essa tratta letizia quando è sola nello stesso modo come quando è vista da altri la stessa signorina mi raccontò che un tuo principale pensiero era che la servitù non andasse d accordo il contrario è la verità anzi la signorina dice che addirittura fanno l amore questo è tutto probabilmente essa ti scriverà ma chi sa quando rocca e baratti scrissero una lettera gentilissima con la quale rinnovano l assicurazione che sono interamente a vostra disposizione dora mi disse di averti scritto cosi pure fausta attendono ambedue una tua risposta anzi dora vorrebbe che tu le scrivessi al collegio per ricevere la tua lettera prima questa mane è stata qui paulina trovò letizia in ottimo stato visto che le avevo raccontato che i mussati la torturavano molto portò del legno quassia col quale si deve fare un tè per lavarle il viso dicono che serve del resto olga ha dato ordini perché la stanza di letizia venga accuratamente pulita e di sera scovettata anche in stanza nostra è un diavoleto di notte oggi ho cercato di quei chiodi che si bruciano a venezia ma non ne trovai alcuni mi dissero non essere ancora la stagione dei mussati vorrei venissero da me una notte domani fra le tante altre cose che ho da fare c è anche la conferenza pel ginnasio mi vi sono obbligato e non c è rimedio ad onta che del mio tempo saprei fare migliore uso in fondo a me il ginnasio non occorre fino a di qua a dieci anni fumo al solito come un turco e non vedo vicino il momento in cui saprò disfarmi di questa odiosa abitudine più gravosa ancora quando ho qualche sopracapo perché allora fumo il doppio fuori fa un tempo alquanto brusco e non credo che ci sarà a divertirsi alle sboccie fremo pensando a tutto il pomeriggio di quel domino non sarebbe oggi giuoco per me ho raccontato a olga delle tue debolezze ti ripeto che devi fare assolutamente quello che tu credi il meglio sospendi uno o due bagni o quanti vuoi a casa naturalmente non ritornerai che a cura finita si capisce che la tua sicurezza di essere a casa di qua ad un mese come scrivesti nella tua del non sussiste più io poi non ebbi mai questa sicurezza perché dato quello che ne disse bassini è troppo naturale che sia cosi scrivimi come li sopporta la signora r era strano non posso fare a meno di rilevarlo parlare del ritorno dopo un mese quando è evidente che a tua cura finita dovrai fare compagnia alla signora come sei dimentica qualche volta fuori sbuca un raggio di sole forse ci sarà possibile di fare la solita partita ettore,Ettore Schmitz,negative,sadness
191,1898,alla moglie carissima livia figurati che metà delle mie lettere non ti pervengono non passa quasi sera ch io non ti prepari qualche cosa e poi o l umore cambia oppure con tutta semplicità me le dimentico a casa oggi vi riposa una lettera di facciate con la macchina vi sono ancora delle parole amare e sta bene dove è oggi ricevo la tua del e mi sento sollevato alquanto una brutta frase si capisce può essere cancellata da molte buone non ti pare che puoi fare a meno di parole dolci quando tutto il mio umore dipende dalle tue lettere io mi agito e mi muovo come un padrone e tu con una parola fuori di squarra mi togli ogni libertà d azione il sonno la fame la capacità di lavorare di pensare e evidente che ogni donna sarebbe lieta della sua posizione anche se seccata dalle mie violenze dovresti avermi veduto dall altr ieri in qua ieri nel pomeriggio ero un poco più calmo ma quando cercai di pigliare sonno passai di fantasticheria in fantasticheria irritandomi agitandomi come un pazzo furioso alla mattina presi sonno e mi trovo col male di testa ma non esito a dichiarartelo abbastanza felice non era cosi quando venni in ufficio alle nove e non trovai la tua lettera che mi giunse non so perché alle fui tre quattro volte al tavolo ove giacciono le lettere per gl impiegati per essere ben sicuro di non averla stravista se le tue lettere mi giungessero in ore ieri avrei mitigato ancora di più la mia di cui ad onta della calma in cui mi trovo non saprei ritirare il contenuto la forma non ricordo perché ne scrissi e non so più quale ti abbia inviata riassumendo quanto precede hai evidentemente torto quando mi dici che temi per l avvenire non è la mia freddezza che può farti temere non credo per la tua felicità ma per la tua tranquillità sarebbe bene ch io mi raffreddassi in quanto all affetto che tu avevi sognato nella tua testa di educanda inesperta credimi sarebbe noioso e poi non esiste l amore non muta natura o caratteri li rende più intensi e tutto conserva sotto un nuovo colore la sua fisonomia guai se l amore mutasse io m innamoro di te tu t innamori di me e cambi io non t amo più perché preferivo quella di prima è un bon mot e a te dispiacerà ma lasciamene fare perché sono ore che non ne feci povera diavola speravi di ricevere migliori lettere e stai per ricevere quella di ieri confesso che sono vendicativo e che non posso rimpiangere d averti fatta fare un pezzo di strada quale l ho fatto io dove hai ragione è là dove dici che la mia vita potrebbe ancora trovare un maggior equilibrio nelle mie occupazioni predilette per quanto vane e inutili devi però pensare che la vita incalza e che i miei obblighi verso di te e di mia figlia sarebbero ben differenti tuttavia per una ragione o per l altra al tuo ritorno io mi metterò in ordine col mio tempo non verrò mai più a pranzo paola mi dice ch essa non vuole essere retribuita pel pranzo che mi dà m alzerò di mattina a buon ora per essere poi libero dall ufficio di casa se io resterò e noi non ci vedremo fino alle sei alle sei caschi il mondo tu dovrai fare in modo d essere libera del tutto io non parlerò d altre occupazioni e se tu potrai camminare ci allontaneremo da casa altrimenti vi resteremo ma in ambidue i casi insieme dopo una giornata d attività più intensa io certamente troverò il modo di farti passare il tempo con idee mie e altrui le più strane e le più dolci a me pare che questo piano di vita sarà il più logico pensaci tu sai per esperienza di fatti e non per parole che per quanto desiderio io ne abbia avuto finché tu non hai voluto io non lo feci attratto anche dal desiderio di starti accanto una volta di più nella giornata bisognerà essere ragionevoli ho tanto da fare che ho dovuto rimandare a domani la conferenza mai come oggi mi dispiace di cessare di scriverti ma è necessario ti stringo al seno con l antico e giovine affetto mio bonbon tuo ettore riapro la presente per acchiuderti una lettera di paola ero da lei a pranzo causa la pioggia adolfo non era uscito adesso splende il sole non ho ricevuto il giornale di cui m annunziasti l invio e l attendo i passepartout non ti rimisi perché costano troppo e ieri era l assenza ascensione addio cara studierò gli stivali gialli come sono consunti,Ettore Schmitz,negative,sadness
